englishWord,gaWord,wordType,category,level,sourcePage,reviewStatus,audioStatus,quizReady,storyReady,notes,sourceName
Hello,Helo,expression,Greetings,Foundation,7,Approved,Not Started,true,false,Verified page 7,Kasahorow Ga Children's Dictionary
Yes,Yoo,expression,Greetings,Foundation,7,Approved,Not Started,true,false,Verified page 7,Kasahorow Ga Children's Dictionary
No,Daabi,expression,Greetings,Foundation,7,Approved,Not Started,true,false,Verified page 7,Kasahorow Ga Children's Dictionary
Yesterday,Nye,noun,Time,Foundation,7,Approved,Not Started,true,false,Verified page 7,Kasahorow Ga Children's Dictionary
Today,Ŋmene,noun,Time,Foundation,7,Approved,Not Started,true,false,Verified page 7,Kasahorow Ga Children's Dictionary
Tomorrow,Wɔ,noun,Time,Foundation,7,Approved,Not Started,true,false,Verified page 7,Kasahorow Ga Children's Dictionary
Sunday,Hɔgbaa,noun,Days,Foundation,8,Approved,Not Started,true,false,Verified page 8,Kasahorow Ga Children's Dictionary
Monday,Ju,noun,Days,Foundation,8,Approved,Not Started,true,false,Verified page 8,Kasahorow Ga Children's Dictionary
Tuesday,Jufɔ,noun,Days,Foundation,8,Approved,Not Started,true,false,Verified page 8,Kasahorow Ga Children's Dictionary
Wednesday,Shɔ,noun,Days,Foundation,8,Approved,Not Started,true,false,Verified page 8,Kasahorow Ga Children's Dictionary
Thursday,Soo,noun,Days,Foundation,8,Approved,Not Started,true,false,Verified page 8,Kasahorow Ga Children's Dictionary
Friday,Sohaa,noun,Days,Foundation,8,Approved,Not Started,true,false,Verified page 8,Kasahorow Ga Children's Dictionary
Saturday,Hɔɔ,noun,Days,Foundation,8,Approved,Not Started,true,false,Verified page 8,Kasahorow Ga Children's Dictionary
one,ekome,adjective,Numbers,Foundation,18,Approved,Not Started,true,false,Verified page 18,Kasahorow Ga Children's Dictionary
two,enyɔ,adjective,Numbers,Foundation,18,Approved,Not Started,true,false,Verified page 18,Kasahorow Ga Children's Dictionary
three,ete,adjective,Numbers,Foundation,18,Approved,Not Started,true,false,Verified page 18,Kasahorow Ga Children's Dictionary
four,ejwɛ,adjective,Numbers,Foundation,18,Approved,Not Started,true,false,Verified page 18,Kasahorow Ga Children's Dictionary
five,enumɔ,adjective,Numbers,Foundation,18,Approved,Not Started,true,false,Verified page 18,Kasahorow Ga Children's Dictionary
six,ekpaa,adjective,Numbers,Foundation,18,Approved,Not Started,true,false,Verified page 18,Kasahorow Ga Children's Dictionary
seven,kpawo,adjective,Numbers,Foundation,27,Approved,Not Started,true,false,Verified page 27,Kasahorow Ga Children's Dictionary
eight,kpaanyo,adjective,Numbers,Foundation,27,Approved,Not Started,true,false,Verified page 27,Kasahorow Ga Children's Dictionary
nine,nɛɛhu,adjective,Numbers,Foundation,0,Pending,Not Started,false,false,Source page unconfirmed - do not approve until verified,Kasahorow Ga Children's Dictionary
ten,nyɔŋma,adjective,Numbers,Foundation,0,Pending,Not Started,false,false,Source page unconfirmed - do not approve until verified,Kasahorow Ga Children's Dictionary
