scanFile,pageNumber,englishHint,gaWord,status,category,notes
scan_001.pdf,,butterfly,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,goat,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,chimpanzee,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,housefly,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,monkey,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,parrot,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,cat,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,spider,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,crocodile,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,alligator,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,duck,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_001.pdf,,dinosaur,,Needs Extraction,Animals,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,fruit,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,pawpaw,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,orange,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,banana,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,tomato,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,apple,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,bread,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,pineapple,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_002.pdf,,vegetable,,Needs Extraction,Food,English hint only from scanned dictionary; Ga spelling pending
scan_003.pdf,,baby,,Needs Extraction,People,English hint only from scanned dictionary; Ga spelling pending
scan_003.pdf,,mother,,Needs Extraction,Family,English hint only from scanned dictionary; Ga spelling pending
scan_003.pdf,,child,,Needs Extraction,Family,English hint only from scanned dictionary; Ga spelling pending
scan_003.pdf,,son,,Needs Extraction,Family,English hint only from scanned dictionary; Ga spelling pending
scan_003.pdf,,doctor,,Needs Extraction,Professions,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,box,,Needs Extraction,Objects,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,shoe,,Needs Extraction,Objects,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,spoon,,Needs Extraction,Objects,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,fork,,Needs Extraction,Objects,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,boat,,Needs Extraction,Transport,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,ball,,Needs Extraction,Sports,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,bus,,Needs Extraction,Transport,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,mirror,,Needs Extraction,Objects,English hint only from scanned dictionary; Ga spelling pending
scan_004.pdf,,tray,,Needs Extraction,Objects,English hint only from scanned dictionary; Ga spelling pending
scan_005.pdf,,leaf,,Needs Extraction,Places,English hint only from scanned dictionary; Ga spelling pending
scan_005.pdf,,cloud,,Needs Extraction,Places,English hint only from scanned dictionary; Ga spelling pending
scan_005.pdf,,brain,,Needs Extraction,Body,English hint only from scanned dictionary; Ga spelling pending
scan_005.pdf,,fever,,Needs Extraction,Health,English hint only from scanned dictionary; Ga spelling pending
scan_005.pdf,,darkness,,Needs Extraction,Feelings,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,you,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,he,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,she,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,her,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,its,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,them,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,their,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,they,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_006.pdf,,or,,Needs Extraction,Grammar,English hint only from scanned dictionary; Ga spelling pending
scan_007.pdf,,zero,,Needs Extraction,Numbers,English hint only from scanned dictionary; Ga spelling pending
scan_007.pdf,,one,,Needs Extraction,Numbers,English hint only from scanned dictionary; Ga spelling pending
scan_007.pdf,,two,,Needs Extraction,Numbers,English hint only from scanned dictionary; Ga spelling pending
scan_007.pdf,,three,,Needs Extraction,Numbers,English hint only from scanned dictionary; Ga spelling pending
scan_007.pdf,,four,,Needs Extraction,Numbers,English hint only from scanned dictionary; Ga spelling pending
scan_007.pdf,,five,,Needs Extraction,Numbers,English hint only from scanned dictionary; Ga spelling pending
scan_007.pdf,,six,,Needs Extraction,Numbers,English hint only from scanned dictionary; Ga spelling pending
scan_007.pdf,,thousand,,Needs Extraction,Numbers,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,start,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,come,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,ask,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,sweep,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,listen,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,make,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,do,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,fly,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,stand,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
scan_008.pdf,,thank,,Needs Extraction,Actions,English hint only from scanned dictionary; Ga spelling pending
